and	ja
authorized	sallittu
hide	piilota
hide	piilottaa
announcement	ilmoitus
compact	tiivis
tissue	kudoksen
particles	hiukkaset
particles	hiukkasia
refuses	kieltäytyy
receiver	vastaanottaja
receiver	vastaanotin
civilians	siviilejä
delayed	viivästynyt
delayed	viivästyminen
wednesday	keskiviikko
wednesday	keskiviikkona
checking	tarkistetaan
checking	tarkistaa
demo	esittely
nationwide	valtakunnallinen
paying	maksaa
submit	lähetä
desired	haluttu
desired	toivottu
followers	seuraajat
followers	seuraajia
followers	seuraajaa
problematic	ongelmallista
problematic	ongelmallinen
remarks	huomioita
remarks	huomautuksia
remarks	huomautukset
coached	valmensi
observations	huomioita
observations	havainnot
observations	huomiot
observations	huomautuksia
observations	huomautukset
footnotes	alaviitteet
promised	luvattu
promised	lupasivat
promised	luvannut
promised	lupasi
cream	voidetta
presenter	juontaja
favourite	suosikki
mixture	seoksen
mixture	seos
mate	kaveri
extends	ulottuu
integral	olennainen
hopes	toiveet
hopes	toivoo
servant	palvelija
hurt	satuttaa
hurt	loukkaantunut
stability	pysyvyys
hoping	toivoen
confusing	hämmentävä
confusing	hämmentävää
confusing	hämmentää
summaries	tiivistelmät
beetles	kovakuoriaisia
vital	elintärkeä
kilometers	kilometriä
nose	nenä
nose	nenän
nose	nenää
respected	arvostettu
respected	kunnioitettu
thunder	ukkonen
centered	keskitetty
physicians	lääkäreitä
physicians	lääkärit
crops	viljelykasvien
monk	munkin
monk	munkki
extraordinary	poikkeuksellisia
extraordinary	poikkeuksellinen
lessons	oppitunteja
deer	hirvi
wireless	langaton
wireless	langattoman
mysterious	salaperäinen
consultant	konsultti
formats	muodoissa
formats	muodot
births	syntyneet
amazing	uskomatonta
amazing	upeaa
pet	lemmikki
loves	rakastaa
nominate	nimittää
striker	hyökkääjä
accidentally	vahingossa
satisfy	tyydytä
satisfy	tyydyttää
voltage	jännitettä
voltage	jännite
consistently	johdonmukaisesti
impressed	vaikuttunut
maintains	ylläpitää
aggressive	aggressiivinen
yankees	jenkit
suburban	esikaupunki
enlisted	värväytyi
moments	hetket
moments	hetkiä
interim	väliaikaisen
interim	väliaikainen
lucky	onnekas
targeted	kohdennettu
targeted	kohdistettu
targeted	kohteena
prevented	estettiin
bicycle	polkupyörä
bicycle	polkupyörän
purely	puhtaasti
interactions	vuorovaikutus
interactions	yhteisvaikutuksia
interactions	yhteisvaikutukset
lecture	luennon
sanctuary	turvapaikka
sanctuary	turvapaikan
dragons	lohikäärmeet
dragons	lohikäärmeitä
nurse	sairaanhoitaja
nurse	hoitaja
supplement	täydennys
supplement	täydentää
supplement	täydennysosa
supplement	täydennetään
lens	linssin
lens	linssi
commands	käskee
trend	suuntaus
ash	tuhka
ash	tuhkaa
disappeared	kadonnut
disappeared	katosi
disappeared	kadonneet
predominantly	pääasiallisesti
committees	valiokunnat
committees	valiokuntien
loose	irti
loose	löysä
loose	vapaana
sailors	merimiehet
beaten	lyöty
smoke	polttaa
divorce	eroa
divorce	avioeron
dust	pölyä
dust	pöly
healthcare	terveydenhuolto
healthcare	terveydenhoito
healthcare	terveydenhuollon
separately	erikseen
grain	jyviä
grain	viljaa
grain	jyvät
executives	johtajat
translations	käännöksiä
translations	käännökset
thrown	heitetty
diving	sukeltaa
accounting	kirjanpito
mesa	mää
intelligent	älykäs
intelligent	älykkäät
intelligent	älykästä
cleaned	puhdistettu
cleaned	siivottu
varieties	lajikkeiden
varieties	lajikkeet
bench	penkin
bench	penkki
bench	penkillä
measurement	mittaukset
complement	täydennettävä
complement	täydennetään
complement	täydennys
complement	täydentävät
complement	täydentää
witch	noita
attraction	vetovoima
attraction	vetovoimaa
screenwriter	käsikirjoittaja
commanders	komentajat
sanctions	seuraamukset
sanctions	seuraamuksia
sanctions	pakotteet
instructor	kouluttaja
varies	vaihtelee
tomorrow	huomenna
tomorrow	huominen
manuscripts	käsikirjoituksia
unified	yhtenäinen
clarify	selventää
clarify	selvennetään
clarify	selkeyttää
investigations	tutkimukset
provision	säännös
provision	määräys
humanity	ihmiskunta
humanity	ihmisyyttä
admit	myönnä
terror	kauhu
contestants	kilpailijat
distant	etäinen
circles	ympyrää
circles	piireissä
assignment	toimeksianto
assignment	tehtävä
releasing	vapauttaa
celebrate	juhli
celebrate	juhlimaan
celebrate	juhlia
vampire	vampyyri
vampire	vampyyrin
playwright	näytelmäkirjailija
sick	sairasta
sick	sairas
sick	sairaat
associates	kumppanit
flags	liput
flags	lippuja
drove	ajoi
drove	ajoivat
drives	ajaa
accomplished	suoritettu
accomplished	saavutettu
recruited	palkattu
recruited	värväsi
terminology	käsitteet
shoulder	olkapää
disabled	vammaiset
disabled	vammaisten
joins	liittyy
tactics	taktiikka
tactics	taktiikkaa
innocent	syytön
rapper	räppäri
settle	asettua
privacy	yksityisyyden
privacy	yksityisyyttä
privacy	yksityisyys
thermal	lämpö
marines	merijalkaväki
nationally	kansallisesti
disorders	häiriöt
prevention	ennaltaehkäisy
prevention	ehkäisy
prevention	ehkäiseminen
honored	kunnioitettu
healthy	terveellistä
healthy	terveet
healthy	terveellinen
circus	sirkuksen
burma	burmassa
quiet	hiljainen
deliver	toimita
deliver	toimittaa
hypothesis	olettamus
referendum	kansanäänestyksen
referendum	kansanäänestystä
referendum	kansanäänestys
travelling	matkustaa
travelling	matkustaminen
pastor	kirkkoherra
lasting	kestävät
priority	etusijalla
priority	ensisijainen
pounds	kiloa
cent	sentti
consequence	seuraus
furniture	huonekalut
furniture	huonekaluja
honest	rehellistä
estimate	arvio
estimate	arvioi
estimate	arvion
rotation	kierto
automated	automaattinen
automated	automatisoitu
appreciated	arvostettu
appreciated	arvostaa
appreciated	arvostetaan
naples	napolissa
varied	vaihteli
acknowledged	tunnustetaan
acknowledged	myönsi
acknowledged	tunnustettiin
acknowledged	tunnustettu
exceptions	poikkeukset
exceptions	poikkeuksia
drawings	piirustukset
drawings	piirustuksia
drawings	piirrokset
refuge	turvapaikka
conventions	sopimukset
unused	käyttämättömät
unused	käyttämätön
unused	käyttämättä
searches	etsii
searches	hakee
particle	hiukkasten
thursday	torstai
thursday	torstaina
icon	kuvaketta
infinite	ääretön
infinite	loputon
considerably	huomattavasti
portraits	muotokuvia
paste	liittää
paste	liitä
excessive	liiallinen
excessive	kohtuuton
believing	uskoo
implement	täytäntöön
infection	tulehdus
tonight	tänään
casino	kasinolla
settings	asetukset
mask	naamio
shelter	suojaa
hopefully	toivottavasti
elimination	poistaminen
pregnant	raskaana
delegates	edustajat
delegates	valtuutetut
crashed	törmäsi
crashed	putosi
preference	suositaan
concerto	konsertto
construct	muodosta
construct	rakentaa
tune	sävelmä
acceptance	hyväksyminen
acceptance	hyväksyntä
tight	tiukat
tight	tiukkaa
tight	tiukka
tight	tiukasti
mess	sotku
mess	sotkua
dozens	kymmeniä
dozens	kymmenet
spotted	nähty
spotted	havaittu
spotted	huomattu
legally	oikeudellisesti
legally	laillisesti
fake	väärennetty
fake	tekaistu
biased	puolueellinen
investors	sijoittajien
investors	sijoittajat
investors	sijoittajille
investors	sijoittajia
reliability	luotettavuus
reliability	luotettavuutta
fights	ottelut
fights	taistelee
pocket	taskuun
pocket	taskussa
adoption	hyväksyminen
decrease	lasku
decrease	väheneminen
decrease	vähentynyt
reserved	varattu
forgotten	unohdettu
forgotten	unohtanut
forgotten	unohtunut
crop	rajaa
licensing	lisensointi
licensing	lisenssi
collecting	kerätä
collecting	kerätään
collecting	keräys
collecting	kerääminen
uncertain	epävarmaa
uncertain	epävarma
collector	keräilijä
clothes	vaatteet
clothes	vaatteita
enhanced	parannettu
enhanced	tehostettu
compensation	korvaus
compensation	korvausta
compensation	korvaukset
compensation	hyvitys
consent	suostumus
consent	suostumuksen
consent	suostumusta
outline	hahmotella
holdings	tilojen
holdings	tiloja
darkness	pimeyttä
darkness	pimeys
penalties	seuraamukset
penalties	seuraamuksia
penalties	rangaistukset
hometown	kotikaupunki
holes	reikiä
holes	aukkoja
holes	reiät
blow	räjäyttää
blow	puhaltaa
trainer	kouluttaja
trainer	valmentaja
retiring	eläkkeelle
blogs	blogit
protecting	suojelu
protecting	suojelee
protecting	suojella
protecting	suojeleminen
scorer	maalintekijä
stamp	leima
stamp	leimaa
fur	turkki
estimates	arvioita
estimates	arviot
ritual	rituaali
locality	paikkakunnalla
trace	jäljittää
foundations	säätiöiden
politically	poliittisesti
derivative	johdannainen
dimension	ulottuvuus
dimension	ulottuvuutta
succeed	onnistua
concentrated	tiivistetty
concentrated	keskittynyt
concentrated	keskitetty
dirty	likaista
dirty	likaiset
likes	tykkää
likes	pitää
galleries	gallerioita
councils	neuvostojen
adequate	riittävä
adequate	riittävät
inland	sisämaan
counsel	asianajaja
tough	kova
tough	kovaa
advertisement	mainos
protagonist	päähenkilö
mistakes	virheitä
mistakes	virheet
bag	säkki
throwing	heittää
climb	kiivetä
witnesses	todistajien
witnesses	todistajia
witnesses	todistajat
presenting	esittää
highlights	korostetaan
jumping	hyppii
missionaries	lähetyssaarnaajia
hoped	toivoi
stern	perä
fees	maksuja
fees	maksut
fees	palkkiot
bet	vetoa
monks	munkkeja
monks	munkkien
dancers	tanssijat
dancers	tanssijoita
quantity	määrä
graves	hautoja
sue	haastaa
barrier	esteen
creatures	olennot
creatures	olentoja
silence	hiljaisuus
precedent	ennakkotapaus
intensity	voimakkuus
exterior	ulkoinen
murders	murhia
paragraphs	kappaleet
bike	polkupyörä
bike	pyörä
imprisonment	vankeutta
imprisonment	vankeuteen
remarkable	huomattavaa
remarkable	merkittävä
remarkable	merkittävää
remarkable	huomattava
ammunition	ammuksia
ammunition	ammukset
fires	tulipaloja
fires	tulipalot
viewing	katsominen
explore	tutkia
explore	tutustu
explore	tutki
builder	rakentaja
bullet	luodin
bullet	luoti
subway	metroasema
precise	tarkka
precise	täsmällinen
precise	tarkat
rifles	kiväärit
governorate	kuvernementti
nest	pesää
nest	pesä
convince	vakuuta
convince	vakuuttaa
attract	houkutella
pump	pumppaa
pump	pumppu
pump	pumpun
feeding	ruokinta
diary	päiväkirja
diary	päiväkirjaa
diary	päiväkirjan
vulnerable	haavoittuvainen
vulnerable	haavoittuva
productive	tuottava
productive	tuottavia
guided	ohjattu
guided	ohjannut
happening	tapahtuu
happening	tapahtumassa
accordingly	vastaavasti
researcher	tutkijan
researcher	tutkija
upgraded	päivitetty
upgraded	parannettu
demonstration	osoittaminen
demonstration	mielenosoitus
spacecraft	avaruusalus
admission	pääsy
admission	sisäänpääsy
certification	sertifiointi
precisely	nimenomaan
submarines	sukellusveneitä
prohibited	kiellettyä
prohibited	kielletty
supposedly	oletettavasti
sometime	joskus
frog	sammakko
vague	epämääräinen
tracking	seuranta
spa	kylpylä
spa	kylpylässä
publicity	julkisuus
publicity	julkisuutta
cleared	tyhjennetty
renewed	uusittu
renewed	uudistettu
reflects	kuvastaa
reflects	heijastuu
reflects	heijastaa
fever	kuume
fever	kuumetta
supporter	kannattaja
discusses	keskustelee
useless	hyödytön
useless	hyödytöntä
tuesday	tiistai
tuesday	tiistaina
capabilities	valmiudet
capabilities	kyvyt
capabilities	valmiuksia
bee	mehiläinen
holders	haltijoiden
baltic	itämeri
baltic	itämeren
loaded	lastattu
evangelical	evankelinen
enterprises	yritysten
enterprises	yrityksiä
enterprises	yritykset
mature	kypsä
mature	kypsää
physically	fyysisesti
breast	rinnat
beast	hirviö
educator	kouluttaja
preparing	valmistelee
preparing	valmistellaan
preparing	valmistelevat
proportion	osuus
ceiling	enimmäismäärä
rainbow	sateenkaaren
rainbow	sateenkaari
demon	paholainen
equations	yhtälöitä
answered	vastattu
answered	vastasi
perception	näkemys
perception	käsitys
entities	yhteisöt
dynamics	dynamiikkaa
insufficient	riittämättömät
insufficient	riittämätön
layers	kerroksia
crater	kraatteri
seized	tarttunut
seized	takavarikoitiin
depicting	kuvaavat
excess	ylimääräinen
translator	kääntäjä
translator	tulkki
hanging	roikkuu
interviewed	haastatteli
workshops	työpajoja
liked	tykännyt
liked	pidetty
teenage	teini
applying	soveltavat
graduates	valmistuu
graduates	valmistuneet
jungle	viidakko
jungle	viidakon
placement	sijoittelu
tourists	matkailijat
tourists	turisteja
tourists	turistit
reasonably	kohtuullisen
reasonably	kohtuudella
performs	suorittaa
quarterly	neljännesvuosittain
romans	roomalaisia
romans	roomalaiset
diploma	tutkinto
environments	ympäristöjä
swan	joutsen
petition	vetoomus
petition	vetoomuksen
invention	keksintö
bend	taivuttaa
app	sovelluksen
app	sovellusta
questioned	kyseenalaisti
explicit	nimenomaisesti
explicit	nimenomainen
draws	vetää
draws	kiinnitetään
draws	piirtää
slight	lievä
drag	vedä
planes	koneita
planes	lentokoneet
planes	lentokoneita
everyday	jokapäiväistä
everyday	jokapäiväinen
oriental	itämainen
manufacture	valmistus
acclaimed	ylistetty
superman	teräsmies
voluntary	vapaaehtoista
voluntary	vapaaehtoiset
voluntary	vapaaehtoinen
floating	leijuu
sketch	luonnos
flooding	tulvat
flooding	tulva
flooding	tulvien
flooding	tulvia
escort	seuralainen
dressed	pukeutunut
variables	muuttujat
arbitrary	mielivaltaisesti
arbitrary	mielivaltaisia
rainfall	sademäärä
canvas	kangas
chest	rintakehä
provider	tarjoajan
provider	tarjoaja
poles	puolalaiset
poles	puolalaisia
broader	laajempaa
broader	laajempi
broader	laajemmat
avoided	vältetään
lisbon	lissabonissa
tongue	kieli
newer	uudempi
panels	paneelit
cheese	juusto
cheese	juustoa
easter	pääsiäistä
easter	pääsiäinen
descriptions	kuvaukset
descriptions	kuvauksia
informal	epävirallisessa
informal	epävirallinen
informal	epävirallista
informal	epävirallisia
cry	itkeä
cry	itku
cry	huuto
cry	itke
loyal	uskollinen
loyal	uskollisia
cooperative	osuuskunta
substantially	merkittävästi
substantially	olennaisesti
substantially	huomattavasti
trips	matkoja
trips	matkat
introducing	esittelyssä
fountain	suihkulähde
quit	lopettaa
expelled	karkotettu
expelled	erotettu
evident	ilmeistä
evident	ilmeinen
staged	lavastettu
staged	lavasti
telecommunications	tietoliikenne
nationals	kansalaiset
misleading	harhaanjohtavia
misleading	harhaanjohtavaa
misleading	harhaanjohtava
sleeping	nukkuu
sleeping	nukkua
sleeping	nukkumassa
crucial	ratkaisevaa
crucial	ratkaiseva
directing	ohjata
alphabet	aakkoset
chef	keittiömestari
tubes	putket
hostile	vihamielisiä
eighteen	kahdeksantoista
shirt	paita
shirt	paitaa
weird	outoa
loading	lataaminen
loading	ladataan
loading	kuormitus
acre	hehtaarin
practiced	harjoitettu
practiced	harjoitellut
practiced	harjoittanut
shoes	kenkiä
shoes	kengät
climbing	kiivetä
valve	venttiili
listening	kuunnella
listening	kuuntelee
listening	kuuntelemassa
integrity	rehellisyys
definitions	määritelmät
definitions	määritelmiä
critically	kriittisesti
objections	vastalauseita
objections	vastaväitteitä
detection	osoittaminen
detection	havaitseminen
salmon	lohi
abortion	abortti
elephant	elefantti
trademark	tavaramerkki
trademark	tavaramerkin
provisional	alustavat
provisional	väliaikainen
provisional	väliaikaiset
counting	laskee
counting	laskeminen
absorbed	imeytyy
tension	jännitys
tension	jännite
tension	jännitteitä
tension	jännitteet
cleaning	puhdistaminen
cleaning	siivous
cleaning	puhdistus
physicist	fyysikko
preventing	estäminen
withdrawal	peruuttaminen
withdrawal	peruuttamista
withdrawal	vetäytyminen
walks	kävelee
trailer	perävaunun
tornado	pyörremyrsky
requesting	pyydetään
requesting	pyytää
floors	kerrosta
floors	lattia
determining	määritetään
determining	määräävä
catholicism	katolilaisuus
pleasure	mielihyvää
constructive	rakentavaa
constructive	rakentavia
constructive	rakentava
constructive	rakentavasti
battalions	pataljoonat
deliberately	tarkoituksella
deliberately	tarkoituksellisesti
faction	ryhmittymä
corridor	käytävä
compatible	yhteensopivia
compatible	yhteensopiva
pleasant	miellyttävää
pleasant	miellyttävä
miscellaneous	sekalaiset
miscellaneous	erilaiset
bulletin	tiedotteen
pollution	pilaantuminen
treasurer	rahastonhoitaja
questionable	kyseenalaista
questionable	kyseenalainen
stuck	juuttunut
stuck	jumissa
openly	avoimesti
inferior	huonompi
cruiser	risteilijä
princes	prinssit
silk	silkkiä
agreements	sopimusten
agreements	sopimukset
stamps	postimerkkejä
specimens	yksilöt
specimens	yksilöiden
defines	määritellään
defines	määrittelee
cage	häkkiin
cage	häkki
correspondence	kirjeenvaihto
illustrates	kuvastaa
illustrates	havainnollistaa
employer	työnantaja
employer	työnantajan
recreational	virkistys
capability	valmius
capability	valmiudet
objection	vastalause
systematic	systemaattisesti
systematic	järjestelmällistä
systematic	järjestelmällisesti
systematic	järjestelmällinen
violated	rikkoi
violated	rikottu
chocolate	suklaa
chocolate	suklaata
grandmother	isoäiti
rounded	pyöristettynä
halls	käytävillä
halls	käytävät
brilliant	loistava
brilliant	loistavaa
libya	libyassa
transported	kuljetettu
transported	kuljetetaan
creature	olento
creature	otus
gather	kerätä
gather	kerää
volcanic	tulivuoren
deposits	talletuksia
deposits	talletukset
apartments	huoneistoja
apartments	huoneisto
hiding	piilossa
sends	lähettää
strongest	vahvin
strongest	voimakkain
freeway	moottoritie
batteries	paristot
chains	ketjut
recover	palauta
ear	korvan
servants	palvelijat
servants	palvelijoita
combine	yhdistetään
combine	yhdistä
combine	yhdistää
decent	kunnon
hawk	haukka
contestant	kilpailija
rational	järkevä
rational	järkevää
determination	määritys
determination	päättäväisyyttä
determination	määrittäminen
determination	päättäväinen
threshold	kynnyksen
proud	ylpeitä
proud	ylpeänä
proud	ylpeä
custody	huoltajuuden
threatening	uhkaavat
threatening	uhkaava
threatening	uhkaa
threatening	uhkailee
astronomical	tähtitieteellinen
rector	rehtori
petroleum	maaöljy
bug	ötökkä
mud	mutaa
regulatory	sääntely
honey	hunajaa
diagram	kaavio
infringement	rikkomus
infringement	rikkomisen
infringement	rikkominen
infringement	rikkomisesta
complexity	monimutkaisuuden
complexity	monimutkainen
complexity	monimutkaisuus
displacement	siirtymä
sponsor	rahoittaja
sponsor	järjestäjä
condemned	tuominnut
condemned	tuomittu
wisdom	viisaus
wisdom	viisauden
wisdom	viisautta
stupid	tyhmä
continuously	jatkuvasti
mickey	mikki
destroying	tuhoavat
destroying	tuhoaa
destroying	tuhoaminen
genuine	aidot
genuine	aito
acquire	hankkia
acquire	hankittava
corrected	korjattu
corrected	oikaistu
theatres	teatterit
artifacts	esineitä
locked	lukittu
locked	lukossa
terrible	kauhea
divide	hajota
recommendations	suositukset
recommendations	suosituksia
gymnastics	voimistelu
carriers	harjoittajat
monsters	hirviöitä
monsters	hirviöt
notified	ilmoitettu
notified	ilmoitetut
harassment	häirintää
harassment	häirintä
favorable	suotuisa
favorable	suotuisat
commercially	kaupallisesti
luxury	ylellinen
luxury	ylellisyyttä
reviewers	arvioijat
neutrality	puolueettomuus
blast	räjähdys
detected	havaittu
attribution	nimeä
facilitate	helpottavat
echo	kaiku
availability	saatavuutta
availability	saatavuus
organizing	järjestäminen
organizing	järjestää
flagship	lippulaiva
basement	kellarissa
spirits	henkiä
torture	kidutuksen
wheat	vehnä
wheat	vehnää
examined	tarkasteltu
examined	tutkittu
membrane	kalvon
homeland	kotimaa
homeland	kotimaan
dental	hammaslääkäri
curious	utelias
responsibilities	vastuuta
responsibilities	vastuu
responsibilities	velvollisuudet
responsibilities	vastuualueet
responsibilities	vastuut
communists	kommunisteja
ceremonies	seremonioita
corporations	yhtiöt
corporations	yritykset
tagging	merkitsemisestä
tagging	merkitseminen
tagging	merkintä
tagging	merkitsemisen
yield	tuotos
yield	tuotto
sizes	koot
neighbourhood	naapurusto
cheap	halvalla
cheap	halvat
cheap	halpa
cheap	halpaa
forbidden	kiellettyä
forbidden	kielletty
councillor	valtuutettu
knife	veistä
knife	puukko
yesterday	eilen
vegetation	kasvillisuuden
tickets	liput
tickets	lippuja
tickets	lippujen
dams	patojen
throws	heittää
plural	monikossa
justified	oikeutettu
justified	perusteltu
justified	perusteltua
speeds	nopeudet
zip	postinumero
updates	päivityksiä
updates	päivitykset
replied	vastasivat
replied	vastasi
restriction	rajoitukset
restriction	rajoitus
restriction	rajoittaminen
siblings	sisarukset
siblings	sisaruksia
measurements	mittauksia
measurements	mittaukset
tide	vuorovesi
predicted	ennustettu
charitable	hyväntekeväisyys
feast	juhla
promising	lupaava
promising	lupaavat
attractive	viehättävä
attractive	houkutteleva
initiatives	aloitteet
initiatives	aloitteita
comfortable	mukavat
outlets	myymälöistä
kingdoms	kuningaskunnat
buying	ostamassa
buying	ostoa
buying	ostaa
smoking	tupakointi
smoking	tupakoinnin
enormous	suunnaton
enormous	valtava
leather	nahkaa
leather	nahka
unreliable	epäluotettava
unreliable	epäluotettavia
breakfast	aamiainen
breakfast	aamiaista
botanical	kasvitieteellinen
bottle	purkki
angola	angolassa
slide	liukua
invalid	virheelliset
invalid	virheellinen
invalid	kelvoton
trapped	loukussa
satisfied	tyytyväinen
satisfied	tyytyväisiä
criticised	arvosteli
merchants	kauppiaat
merchants	kauppiaiden
merchants	kauppiaita
wound	haavaa
wound	haavan
wound	haava
publishes	julkaisee
ridiculous	naurettava
ridiculous	naurettavaa
suffer	kärsi
suffer	kärsivät
suffer	kärsii
suffer	kärsiä
caves	luolia
balanced	tasapainoinen
balanced	tasapainoista
balanced	tasapainossa
highlight	korostaa
payments	maksuja
payments	maksut
tendency	taipumusta
clue	johtolanka
rockets	raketit
rockets	raketteja
cure	parantaa
organisms	organismien
preview	esikatselu
import	tuonti
buddy	kaveri
dock	laituri
exceptional	poikkeukselliset
exceptional	poikkeuksellinen
exceptional	poikkeuksellista
beings	olennot
beings	olentoja
challenging	haastavaa
challenging	haastava
challenging	haastaa
supervision	valvontaa
supervision	valvonta
lease	vuokrasopimus
yours	sinun
toys	lelut
toys	leluja
hang	hirteen
portable	kannettava
portable	kannettavat
salary	palkan
salary	palkat
salary	palkka
staying	jäämässä
smallest	pienimmän
smallest	pienimmät
tragedy	murhenäytelmä
deciding	päättäminen
delegation	valtuuskunnan
delegation	lähetystö
delegation	valtuuskunta
delegation	valtuuskuntaa
combining	yhdistetään
portfolio	salkun
machinery	koneet
machinery	koneiden
miners	kaivosmiehet
reflection	pohdintaa
courage	rohkeutta
develops	kehittyy
develops	kehitetään
develops	kehittää
pier	laiturille
pier	laituri
formatting	muotoilua
formatting	muotoilu
auction	huutokauppa
auction	huutokaupan
auction	huutokaupassa
secrets	salaisuuksia
secrets	salaisuudet
decreased	heikentynyt
decreased	vähentynyt
decreased	pienentynyt
repairs	korjauksia
repairs	korjaukset
ease	helpota
ease	helpottaa
investments	investointeja
investments	sijoitukset
investments	investoinnit
flame	liekki
rent	vuokra
rent	vuokrataan
rent	vuokraa
rent	vuokraus
induced	aiheuttama
verses	säkeitä
schemes	järjestelmät
schemes	järjestelmien
latitude	leveys
latitude	leveysaste
latitude	leveyttä
networking	verkostot
keeper	pitäjä
keeper	vartija
fixing	vahvistamisesta
highlighted	korostettu
choosing	valitseminen
renovation	remontti
excluded	ulkopuolelle
disability	vammaisuuden
shells	kuoret
cottage	mökki
reservation	varaukset
reservation	varauksen
elderly	iäkkäät
elderly	vanhusten
elderly	vanhukset
mapping	kartoitus
stopping	pysäyttäminen
stopping	pysähtyy
exercises	harjoituksia
exercises	harjoitukset
destroyers	hävittäjiä
destroyers	hävittäjät
mild	lievä
mild	lievää
correspondent	kirjeenvaihtaja
renovated	uusittu
renovated	kunnostettu
renovated	remontoitu
proceeds	tuotto
proceeds	tuotot
reproduction	lisääntyminen
reproduction	lisääntymiseen
compliance	noudattaminen
compliance	noudattamista
jointly	yhteisesti
premises	tiloissa
handbook	käsikirjan
handbook	käsikirja
imported	tuotu
imported	tuonti
imported	tuodut
imported	tuodaan
transactions	tapahtumat
transactions	liiketoimet
statute	perussäännön
statute	ohjesääntö
statute	perussääntö
congressman	kansanedustaja
choices	valintoja
prolific	tuottelias
selective	valikoiva
selective	valikoivaa
criminals	rikolliset
criminals	rikollisia
automotive	autoteollisuus
automotive	autojen
worry	huoli
heating	lämmitys
inactive	passiivinen
celebrities	julkkiksia
rehabilitation	kunnostaminen
rehabilitation	kuntoutus
ambiguous	epäselvä
racism	rasismia
tears	kyyneleet
tears	kyyneleitä
tears	kyynel
tears	kyyneliä
inspection	tarkastukset
inspection	tarkastuksen
inspection	tarkastus
controller	ohjain
depend	riippuvat
encounters	kohtaamisia
fruits	hedelmistä
fruits	hedelmät
fruits	hedelmiä
lunch	lounas
lunch	eväät
photographers	valokuvaajat
delegate	valtuutettu
forums	foorumeilla
recommendation	suositus
recommendation	suosituksen
instant	välitön
falcon	haukka
planted	istutettu
coordination	yhteensovittaminen
dances	tanssit
dances	tanssii
saves	pelastaa
saves	säästää
surveys	selvitykset
surveys	tutkimusten
destinations	kohteita
destinations	kohteet
calm	rauhallinen
photographic	valokuvaus
contacts	yhteystietoja
contacts	yhteyksiä
contacts	yhteystiedot
asylum	turvapaikka
deserves	ansaitsee
matching	samanlaiset
matching	täsmää
matching	vastaavuus
pregnancy	raskauden
pregnancy	raskaus
blatant	räikeä
noteworthy	huomionarvoista
expectations	odotuksiin
expectations	odotuksia
expectations	odotukset
flies	kärpäset
flies	lentää
flies	kärpäsiä
occupy	miehittää
flames	liekkeihin
transparent	avoin
transparent	läpinäkyvä
dedication	omistautumista
nervous	jännittää
everywhere	kaikkialla
everywhere	kaikkialle
sunset	auringonlasku
sunset	auringonlaskun
minds	mielet
reward	palkkion
reward	palkinto
reward	palkkiota
reward	palkkio
narrator	kertoja
ally	liittolainen
steep	jyrkkä
primitive	alkukantainen
donations	lahjoituksia
donations	lahjoitukset
ignoring	huomioimatta
ignoring	huomiotta
beaches	rannoilla
attributes	ominaisuudet
justification	perustelut
justification	perustelu
justification	oikeutus
gains	voitot
accurately	tarkasti
peaceful	rauhallinen
peaceful	rauhallista
manually	käsin
manually	manuaalisesti
shortened	lyhennetty
shortened	lyhentää
constellation	tähdistö
allocated	osoitettu
allocated	myönnetyt
healing	parantuminen
risks	riskejä
atmospheric	ilmakehä
atmospheric	ilmakehän
coloured	värillinen
relevance	merkitys
relevance	tärkeys
relevance	merkitystä
relevance	merkityksellinen
interference	häiriöitä
interference	häiriö
interference	häirintä
interference	häiriöt
candy	karkkia
candy	karkki
flown	lentänyt
struggled	kamppaillut
trends	suuntauksia
trends	suuntaukset
individually	yksittäin
individually	yksilöllisesti
pot	pilveä
interact	vuorovaikutuksessa
guarantee	vakuus
guarantee	takuun
guarantee	takuu
guarantee	takaus
immigrant	maahanmuuttajien
themed	teemalla
servers	palvelimet
rabbit	jänis
sectors	aloilla
corners	kulmat
powder	jauhe
conservatives	konservatiivien
wives	vaimot
inform	tiedottaa
precision	tarkkuutta
precision	tarkkuus
sunshine	päivänsäde
motivated	motivoitunut
accepting	hyväksyy
accepting	hyväksyä
accepting	hyväksytään
savings	säästöjä
savings	säästöt
savings	säästöjen
deeper	syvemmälle
avoiding	välttää
avoiding	välttäminen
unaware	tietämättä
phenomena	ilmiötä
phenomena	ilmiöiden
phenomena	ilmiöt
phenomena	ilmiöitä
aided	auttoi
alert	hälytys
alert	kuulutus
seventeen	seitsemäntoista
bounded	rajoittuvat
loyalty	uskollisuus
loyalty	uskollisuutta
collision	törmäys
collision	törmäyksen
collision	kolari
lighter	kevyempi
lighter	sytytin
filling	täytettä
filling	täyttäminen
filling	täyttämistä
filling	täyttää
enacted	säädetty
encouraging	kannustava
encouraging	kannustetaan
encouraging	kannustaa
finest	hienoin
shooters	ampujia
factories	tehtaiden
factories	tehtaat
factories	tehtaita
heated	lämmitetty
carnival	karnevaalit
amended	muutettu
amended	muutetut
trafficking	ihmiskauppa
trafficking	ihmiskaupan
alternatively	vaihtoehtoisesti
solved	ratkaistu
solved	ratkaisi
endurance	kestävyyttä
blame	syytä
blame	syyttää
convent	luostari
dealer	kauppias
