and	그리고
payments	결제
tendency	경향
davidson	데이비드슨
decorative	장식
rockets	로켓
cure	치료
slope	경사
boyd	보이드
organisms	미생물
preview	미리보기
dodgers	다저스
import	가져오기
import	불러오기
import	수입
buddy	버디
providers	공급자
norwich	노리치
lease	임대
toys	장난감
buck	벅스
italia	이탈리아
portable	포터블
portable	휴대
portable	휴대용
tibet	티베트
composite	합성
composite	컴포지트
salary	급여
salary	월급
enhance	보정
enhance	향상
fragments	단편
objectives	목표
tragedy	비극
macedonian	마케도니아어
macedonian	마케도니아
macedonian	마케도니아인
slot	슬롯
rams	램스
granite	화강암
deciding	결정
venezuelan	베네수엘라
seasonal	계절
delegation	위임
portfolio	포트폴리오
machinery	기계
miners	광부
testimony	증언
reflection	반영
reflection	반사
booth	부스
rudolf	루돌프
courage	용기
riots	폭동
pier	부두
formatting	포맷
formatting	서식
auction	경매
auction	옥션
specifications	사양
secrets	비밀
crest	크레스트
decreased	감소
repairs	수리
phantom	팬텀
hartford	하트포드
hartford	하트퍼드
alps	알프스
liner	라이너
investments	투자
flame	불꽃
exeter	엑서터
rent	임대료
rent	월세
rent	임대
rent	렌트
crane	두루미
crane	크레인
simulation	시뮬레이션
schemes	스킴
latitude	위도
lance	랜스
networking	네트워크
networking	네트워킹
prospect	전망
merits	장점
highlighted	하이라이트
gloria	글로리아
trent	트렌트
horizon	지평선
horizon	호라이즌
yemen	예멘
yemen	남예멘
riot	폭동
excluded	제외됨
elena	엘레나
anger	분노
decoration	장식
disability	장애
disability	장애인
boot	부트
boot	부츠
boot	부팅
scan	스캔
newark	뉴어크
flowing	흐르는
fungi	곰팡이
sensors	센서
battlefield	배틀필드
cottage	오두막
cottage	코티지
reservation	예약
elderly	노인
mapping	맵핑
mapping	매핑
nash	내시
sharks	상어
shirley	셜리
stopping	멈추기
ribbon	리본
infant	영아
mild	가벼운
vikings	바이킹
compliance	준수
hawaiian	하와이
poly	폴리
handbook	안내서
handbook	도움말
rené	르네
rené	레네
screenshot	스크린샷
imported	가져오기
imported	수입
imported	가져온
imported	가져옴
transactions	거래
transactions	트랜잭션
jerome	제롬
shark	상어
diagnosis	진단
stoke	스토크스
stoke	스토크
bride	신부
criminals	범죄자
automotive	자동차
worry	걱정
heating	난방
lengths	길이
inactive	비활성화
advances	진전
valued	가치
rehabilitation	재활
ambiguous	애매하다
leone	레온
sailor	세일러
racism	인종차별
tears	눈물이
tears	눈물
inspection	점검
inspection	검사
barn	헛간
controller	컨트롤러
singular	특이
burden	부담
fruits	과일
fruits	과일과
ruby	루비
lunch	도시락
lunch	점심
nationalism	내셔널리즘
nationalism	국민주의
nationalism	민족주의
photographers	사진사
photographers	사진관
photographers	사진작가
forums	포럼
instant	즉석
instant	인스턴트
instant	즉시
falcon	팰컨
falcon	팰콘
planted	심어
nordic	노르딕
nordic	스칸디나비아
hammond	하몬드
hammond	해먼드
dances	댄스
skilled	숙련
saves	저장
precipitation	강수
bucharest	부쿠레슈티
lily	릴리
surveys	설문조사
destinations	목적지
calm	차분한
calm	차분
calm	잔잔한
contacts	연락처
asylum	망명
asylum	어사일럼
matching	매칭
matching	일치하는
matching	일치
pregnancy	임신
commit	커밋
expectations	기대
harvest	수확
theft	도난
theft	절도
theft	도둑
flames	불꽃
beats	비트
arlington	알링턴
sterling	스털링
chances	기회
petty	페티
sonic	소닉
transparent	투명
transparent	투명한
dedication	헌신
clarence	클래런스
nervous	긴장감
nervous	긴장
excluding	제외
everywhere	어디서나
everywhere	어디든
everywhere	어디든지
sunset	선셋
sunset	석양
sunset	일몰
anthropology	인류학
minds	마인드
reward	보상
antoine	앙투안
ally	앨리
primitive	원시
chronic	만성적인
chronic	만성
donations	기부
donations	기부금
duet	듀엣
intel	인텔
winchester	윈체스터
pig	돼지
whale	고래
beaches	바닷가
beaches	해변
attributes	속성
justification	정당화
gains	이득
gains	이득이
peaceful	평화로운
peaceful	평화롭고
typhoon	태풍
typhoon	타이푼
hank	행크
shortened	단축
tram	트램
aerospace	항공우주
alignment	정렬
alignment	선형
arabian	아라비아어
arabian	아라비아
hastings	헤이스팅스
holly	홀리
traces	자취
traces	흔적
constellation	별자리
healing	힐링
specification	규격
specification	사양
risks	위험
risks	리스크
viking	바이킹
pottery	도자기
bloody	블러디
relevance	관련성
interference	간섭
candy	캔디
candy	사탕
trends	경향
trends	트렌드
individually	개별
individually	개별적으로
funk	펑크
basque	바스크어
basque	바스크
bangalore	벵갈루루
latvian	라트비아
latvian	라트비아인
latvian	라트비아어
pot	냄비
pot	화분
interact	교류
paths	경로
guarantee	보증
immigrant	이민
immigrant	이민자
blessed	축복
blessed	축복받은
servers	서버
ecological	생태
ecological	생태주의
ecological	생태학
rabbit	토끼
sectors	섹터
corners	모서리
powder	가루
powder	파우더
conservatives	보수주의
conservatives	보수당
trivia	퀴즈
coventry	코번트리
wives	아내
detect	탐지
detect	감지
precision	정밀도
precision	정밀
sunshine	햇살이
sunshine	햇살
sunshine	햇빛
sunshine	선샤인
diaspora	디아스포라
savings	저축
underwater	수중
mccarthy	매카시
georgetown	조지타운
screening	상영
screening	시사회
phenomena	현상
rolls	롤스
liver	간간
liver	간디
benedict	베네딕도
benedict	베네딕토
benedict	베네딕트
dawson	도슨
alert	경보
alert	알림
alert	경고
seventeen	열일곱
seventeen	세븐틴
loyalty	충성
loyalty	멤버십
reunion	동창회
collision	충돌
lighter	라이터
filling	채우기
matthews	매튜스
willis	윌리스
encouraging	격려
lambert	람베르트
lambert	램버트
wow	우와
wow	와우
heated	열띤
carnival	사육제
carnival	카니발
notices	공지사항
notices	공지
insight	통찰력
insight	인사이트
wolves	늑대
wolves	늑대들
ricardo	히카르도
ricardo	리카르도
ricardo	히카르두
blame	비난
teachings	가르침
convent	수녀원
dealer	딜러
frost	프로스트
frost	서리
bugs	벅스
bugs	버그
bugs	곤충
consistency	일관성
steady	꾸준히
specially	특별히
implied	묵시적
mistaken	착각
limitations	제한
limitations	한계
lovers	연인
lovers	연인들
comply	준수
securities	증권
prohibition	금주법
acute	급성
container	용기
container	컨테이너
emissions	배기가스
emissions	배출권
emissions	배출량
emissions	배출
upgrade	업그레이드
notation	표기법
notation	표기
omar	오마르
torres	토레스
dining	식당
dining	식사
survivor	생존자
shaft	샤프트
turks	터키인
dishes	접시
seating	좌석
expense	비용
prosecution	기소
noah	노아
hyde	하이드
eternal	영원
eternal	영원한
ethical	윤리
ethical	윤리적
tender	부드러운
yearly	매년
masses	덩어리
masses	질량
explosive	폭발물
softball	소프트볼
compression	압축
micro	마이크로
micro	마이크로소프트
sovereignty	주권
reef	암초
brady	브래디
walked	걷기
eleventh	열한번째
shadows	섀도
shadows	그림자
monasteries	수도원
rope	로프
rope	밧줄
rope	줄넘기
cache	캐시
odds	확률
transmitter	송신기
steal	훔쳐
pension	연금
scenario	시나리오
scenario	시나리오는
constantine	콘스탄틴
constantine	콘스탄티노스
constantine	콘스탄티누스
metals	금속
processor	프로세서
switching	전환
gloucester	글로스터
pyramid	피라미드
gill	아가미
cooling	냉각
cooling	냉방
dash	대시
rita	리타
timing	타이밍
timing	타이밍이
peters	피터스
memoirs	회상록
memoirs	회고록
pitchers	투수
beaver	비버
motorsport	모터스포츠
spike	스파이크
translate	번역하기
translate	번역
flesh	육체
clayton	클레이턴
valleys	골짜기
travis	트레비스
travis	트래비스
distances	거리
enclosed	동봉
asteroid	소행성
accommodation	숙박시설
accommodation	숙박
catalan	카탈루냐
catalan	카탈루냐어
textile	직물
textile	섬유
sanders	샌더스
clarification	해명
deadly	치명적이다
deadly	치명적
marching	행진
usd	미화
phones	전화
phones	전화기
marcel	마르셀
weber	웨버
detachment	분리
specify	지정하기
specify	지정합니다
specify	지정
cafe	카페
sandbox	샌드박스
orphan	고아
monaco	모나코
meaningful	의미있는
invaded	침략
norm	규범
norm	노름
illustrator	삽화가
illustrator	일러스트레이터
celebrations	축하
beverly	베벌리
beverly	비벌리
williamson	윌리엄슨
disco	디스코
exam	시험
advantages	장점
mood	분위기
mood	기분
wheeler	휠러
karachi	카라치
blackburn	블랙번
educators	교육자
swimmer	수영
tunnels	터널
wagon	마차
mohamed	모하메드
salon	미용실
salon	살롱
checks	체크
checks	수표
trigger	트리거
shoots	새싹
pipes	파이프
atoms	원자
ibrahim	이브라힘
ibrahim	아브라함
memoir	회고록
intro	소개
gifts	선물
livestock	가축
companions	동반자
confirmation	확인
volcano	화산
jupiter	목성
jupiter	목성의
taxi	택시
refuse	거절
scripts	스크립트
iris	아이리스
iris	이리스
dad	아빠
elvis	엘비스
laboratories	연구소
laboratories	실험실
villain	악당
chemicals	화학품
chemicals	화학물질
chemicals	화학
multiplayer	멀티플레이어
astronomer	천문학자
flexible	융통성
reformation	종교개혁
convincing	설득력
homeless	노숙자
prefix	접두어
prefix	접두사
carriage	마차
communism	공산주의
effectiveness	효율성
surgical	외과
retire	은퇴
dissolution	해산
unemployment	실업
racist	인종차별
torn	찢어진
malay	말레이어
malay	말레이시아어
clarinet	클라리넷
sodium	나트륨
crow	까마귀
interrupted	중단됨
columnist	칼럼니스트
quantities	수량
eclipse	일식
eclipse	이클립스
organs	장기
christie	크리스티
christina	크리스티나
countryside	시골
rectangular	사각형
rectangular	직사각형
transfers	전송
secondly	두번째로
falcons	팰컨
bart	바트
genius	천재
punch	펀치
specialty	전문
loosely	느슨하게
comfort	위안
comfort	위안부
lotus	로터스
logged	기록함
fold	접어
terrace	테라스
socialism	사회주의
fleming	플레밍
judy	주디
judy	쥬디
infected	감염된
happiness	행복
warehouse	창고
warehouse	웨어하우스
miracle	기적
leisure	레저
synthetic	합성
waterloo	워털루
adviser	충고
accepts	수락
trim	다듬기
trim	트림
irregular	불규칙
atom	원자
atom	아톰
normandy	노르망디
financing	금융
admits	인정
passive	수동적
breakdown	분석
fiber	섬유
mice	생쥐
tired	피곤한
wage	임금
fingers	손가락
worried	걱정
randolph	랜돌프
allison	앨리슨
capitals	캐피털
auditorium	오디토리움
vault	볼트
poison	독도
damages	손해배상
eleanor	엘리너
dover	도버
deny	거부
deny	부정
shapes	모양
essence	본질
emotions	감정
myers	마이어스
saturn	토성
paperback	페이퍼백
domains	도메인
sketches	스케치
cellular	셀룰러
sinclair	싱클레어
sponsorship	스폰서
uncommon	드문
dodge	닷지
plug	플러그
plug	플러그인
puzzle	퍼즐
diamonds	다이아몬드
roses	장미
competitor	경쟁자
competitor	경쟁사
germanic	게르만어
germanic	게르만
urdu	우르두어
scratch	스크래치
pipeline	파이프라인
protective	보호
archer	아처
promises	약속
remake	리메이크
rendering	렌더링
clement	클레멘트
clement	클레멘스
polls	설문조사
polls	설문
reactor	원자로
beds	침대
stems	줄기
desperate	절실한
uniforms	유니폼
partition	분할
partition	파티션
conclusions	결론
reporters	기자
goodbye	굿바이
webpage	웹페이지
coordinate	좌표
steering	스티어링
steering	핸들링
pepper	후추
pepper	고추
pepper	페퍼
drunk	취해
swim	수영
lexington	렉싱턴
persecution	박해
expenses	비용
theaters	극장
theaters	영화관
agnes	아그네스
higgins	히긴스
projected	투영
query	쿼리
query	검색어
query	조회
fool	바보
downs	다운
downs	다운스
brave	용감한
dirt	먼지
inventory	인벤토리
inventory	재고
evaluate	평가
meanings	의미
imagination	상상력
imagination	상상
barber	이발
barber	이발사
amusement	놀이
hunters	사냥꾼
hunters	헌터
drops	물방울
demolition	폭파
natives	원주민
fence	담장
fence	울타리
crush	크러쉬
exploring	탐험
reunited	재결합
cone	원뿔
taiwanese	타이완어
taiwanese	타이완
taiwanese	대만
capturing	캡처
continuity	연속성
continuity	연속
clouds	구름
verification	검증
verification	인증
struggles	투쟁
regulated	규제
lonely	외로워
lonely	외로운
lonely	외로움
deaf	청각
newsletter	뉴스레터
ink	잉크
menu	메뉴
steelers	스틸러스
pointless	무의미한
declare	선포
privileges	권한
knock	노크
launching	출시
launching	런칭
storms	폭풍
logistics	물류
satellites	인공위성
satellites	위성
antenna	안테나
fin	지느러미
advise	충고
advise	조언
kidnapped	납치
wounds	상처
alternatives	대안
turtle	거북
turtle	거북이
greenwich	그리니치
cake	케이크
heather	헤더
pulse	맥박
pulse	펄스
honestly	솔직히
ninja	닌자
validity	타당성
employers	고용주
curse	저주
breakthrough	획기적인
breakthrough	돌파
cycles	사이클
node	노드
europeans	유럽인
habit	버릇
habit	습관
viewer	시청자
viewer	뷰어
russians	러시아인
shields	방패
analyst	분석가
interval	구간
interval	간격
igor	이고르
generator	생성기
generator	발전기
twist	트위스트
griffith	그리피스
aston	애스턴
bacon	베이컨
bury	묻어
smithsonian	스미스소니언
smithsonian	스미소니언
premium	프리미엄
colleague	동료
curves	곡선
fraternity	박애
jacobs	제이컵스
jacobs	제이콥스
hire	고용
isolation	격리
isolation	고립
raven	까마귀
raven	레이븐
patents	특허
thrust	추진력
trout	송어
aesthetic	미학
panic	패닉
panic	공황
teresa	테레사
warming	온난화
advancement	선진
resign	사임
courtesy	예의
rodney	로드니
subscription	구독
perspectives	관점
augustine	아우구스틴
amber	앰버
amber	호박
revelation	계시
functionality	기능
mastering	마스터링
shocked	충격
inflation	인플레이션
passport	여권
woody	우디
shame	부끄러운
shame	수치
shame	부끄러움
motivation	동기
motivation	동기부여
teenager	십대
teenager	청소년
laurel	로렐
balloon	풍선
sponsors	스폰서
sponsors	후원
overwhelming	압도적
baku	바쿠
projection	프로젝션
projection	도법
projection	투영
sands	샌드
sands	샌즈
subtle	미묘
subtle	미묘한
shoe	신발
shoe	구두
basket	바스켓
basket	바구니
silicon	규소
silicon	실리콘
aliens	외계인
imagery	형상화
simmons	시몬스
circuits	회로
tooth	치아
tooth	이빨
complications	합병증
clusters	클러스터
employ	고용
marriages	결혼
accent	말투
slate	슬레이트
weston	웨스턴
lauren	로렌
belarusian	벨라루스어
belarusian	벨라루스
snails	달팽이
meal	식사
pharmaceutical	제약
pharmaceutical	의약품
dominion	자치령
mirrors	거울
mirrors	미러
expressions	표현
expressions	표현식
vegetables	채소
vegetables	야채
laos	라오스
hectares	헥타르
curling	컬링
rotten	썩어
fury	퓨리
confident	자신감
confident	확신
mobility	모빌리티
fascist	파시스트
registry	레지스트리
halt	중지
halt	정지
chronology	연대기
chandler	챈들러
sophisticated	정교한
sophisticated	정교
laurence	로렌스
textbook	교과서
arabs	아랍인
sealed	봉인
verde	베르데
landscapes	풍경
reilly	라일리
databases	데이터베이스
approximate	대략적인
inheritance	상속
fraction	분수
rivera	리베라
transaction	거래
transaction	트랜잭션
substances	물질
fencing	펜싱
turbine	터빈
install	설치하기
install	설치
outlet	아울렛
eduardo	에두아르도
mint	민트
brotherhood	브라더후드
brotherhood	형제단
iconic	상징
wheelchair	휠체어
herb	허브
rep	대표
crescent	초승달
crescent	초승달과
possibilities	가능성
syntax	구문
syntax	문법
railroads	철도
similarity	닮음
sheets	시트
winters	윈터스
preferences	환경설정
tricks	트릭
partnerships	파트너십
salvation	구원
guaranteed	보장
dove	비둘기
sutherland	서덜랜드
gym	헬스
gym	체육관
patriotic	애국
suspects	용의자
ads	광고
revenues	수익
licenses	라이선스
licenses	사용권
licenses	라이센스
licenses	면허
cultivation	경작
ingredients	재료
ingredients	성분
beef	비프
beef	쇠고기
beef	소고기
password	비밀번호
password	암호
modules	모듈
precious	소중한
apologize	사과
moist	촉촉한
emblem	엠블렘
plague	전염병
plague	흑사병
plague	페스트
pie	파이
spiral	나선
spiral	나선형
marcos	마르코스
screened	상영
cement	시멘트
refugee	난민
refugee	피난민
miniseries	미니시리즈
donation	기부
donation	기부금
donation	기증
café	카페
correction	보정
correction	교정
crusade	십자군
developmental	발달
brooke	브룩스
brooke	브룩
extensions	확장자
cube	정육면체
cube	큐브
goa	고아
vacation	방학
vacation	휴가
boots	장화
boots	부츠
ambulance	구급차
flint	플린트
skeleton	뼈대
kurdish	쿠르드어
lawn	잔디
forgot	깜빡
crosby	크로스비
livingston	리빙스턴
treatments	치료법
treatments	시술
treatments	치료
sinking	침몰
vintage	빈티지
perkins	퍼킨스
troubles	고민
resume	재개
resume	이력서
unlimited	무제한
footnote	각주
molly	몰리
attitudes	태도
boost	홍보
boost	홍보하기
neighbors	이웃들
neighbors	이웃
portrayal	묘사
abundant	풍부한
wendy	웬디
breathing	호흡
doll	인형
umbrella	우산
elliot	엘리엇
edith	에디스
edith	에디트
campuses	캠퍼스
showcase	쇼케이스
angles	앵글
tolerance	관용
resistant	내수
paula	폴라
affiliates	계열사
sink	싱크로
concentrate	농축
concentrate	집중
hiking	하이킹
mansfield	맨스필드
airplane	비행기
violet	바이올렛
gentleman	신사
banker	은행원
bullets	총알
lionel	라이오넬
lionel	리오넬
demonstrations	시위
daniels	대니얼스
drinks	음료
drinks	음료수
bollywood	발리우드
dive	다이빙
dive	잠수
simplified	간체
reject	거부
longitude	경도
lucia	루시아
smile	미소
smile	스마일
smile	웃어
injection	주사
injection	주입
injection	분사
redskins	스킨스
nurses	간호사
nurses	간호
swords	도검
multimedia	멀티미디어
buchanan	뷰캐넌
sanction	제재
darker	어둡게
darker	어두운
ipswich	입스위치
borrowed	빌려
borrowed	빌려서
criticisms	비판
discourse	담화
collar	칼라
collar	쇄골
honolulu	호놀룰루
talents	재능
talents	탤런트
lester	레스터
barbados	바베이도스
spectators	관람객
spectators	구경꾼
wages	임금
recruit	모집
floods	홍수
twilight	트와일라잇
twilight	황혼
nitrogen	질소
assassinated	암살
occurrence	발생
leonardo	레오나르도
proportional	비례
speeches	연설
lobby	로비
skaters	스케이팅
blades	블레이즈
nyc	뉴욕
printer	프린터
thumb	엄지손가락
thumb	엄지
isabel	이사벨
seated	착석
overnight	하룻밤
marty	마티
butterflies	나비
hostage	인질
rude	무례한
rude	무례하게
soup	수프
battleship	전함
extract	추출
extract	풀기
throat	목구멍
throat	목이
mozambique	모잠비크
stained	스테인드
caste	카스트
prisons	교도소
prisons	감옥
stirling	스털링
sexually	성적
deposit	보증금
deposit	예금
olivia	올리비아
colombo	콜롬보
observers	관측자
observers	관찰자
observers	옵서버
hubert	휴버트
batch	배치
batch	일괄
breath	호흡
caution	경고
caution	주의
jokes	농담
italics	기울임꼴
italics	이탤릭체
bark	나무껍질
diabetes	당뇨
diabetes	당뇨병
framed	액자
lesson	레슨
lesson	교훈
lesson	수업
alley	골목길
alley	골목
alley	앨리
geo	지오
meditation	명상
promotions	홍보
promotions	프로모션
diplomats	외교관
critique	비판
purchasing	구매
canceled	취소
canceled	취소됨
resorts	리조트
miniature	미니어처
conclude	결론
dartmouth	다트머스
clarity	명확성
incredible	놀라운
chevrolet	쉐보레
qualifications	자격
qualifications	자격증
void	공허
void	무효
bosnian	보스니아
bosnian	보스니아인
bosnian	보스니아어
increment	증가
contests	콘테스트
omitted	생략
gentlemen	신사
catalonia	카탈루냐
warn	경고
locks	자물쇠
realism	현실주의
adaptations	각색
outlined	윤곽
steele	스틸
goodman	굿맨
nutrition	영양
nutrition	영양실조
messenger	메신저
robbery	강도
cultivated	경작
ducks	오리
screens	화면
screens	스크린
proposing	프로포즈
packaging	포장
apology	사과
trauma	트라우마
trauma	외상
pulling	당기
attribute	속성
proxy	프록시
proxy	대리
podcast	팟캐스트
commuter	통근
geometric	기하학
domingo	도밍고
cowboy	카우보이
jew	유대인
bedroom	침실
grape	포도
tomatoes	토마토
savannah	사바나
savannah	서배너
tapes	테이프
australians	오스트레일리아인
disappointed	실망
cola	콜라
crafts	공예
curator	큐레이터
receivers	수신기
rand	랜드
insect	곤충
combinations	조합
enzymes	효소
corrupt	부패
logging	로깅
doubled	두배
conversations	대화
questioning	심문
implementing	구현
symmetry	대칭
muscles	근육
cassette	카세트
stripes	스트라이프스
stripes	줄무늬
juice	주스
juice	쥬스
stealing	도둑질
hilton	힐튼
hilton	힐턴
giles	자일스
stomach	위장
buttons	버튼
buttons	단추
gram	그램
gram	그람
pharmacy	약국
pharmacy	약학
liability	책임
recruiting	모집
recruiting	채용
matched	일치
defendant	피고
defendant	피고인
crashes	충돌
pizza	피자
avengers	어벤져스
avengers	어벤저스
ghosts	귀신
colt	콜트
flooded	홍수
integer	정수형
integer	정수
instantly	즉시
mortar	박격포
cop	경찰
cop	캅카스
activation	활성화
cypriot	키프로스
methodology	방법론
gale	강풍
nominal	명목
skip	스킵
invite	초대
affiliations	소속
medina	메디나
successes	성공
frustrated	좌절
arranger	편곡
infinity	인피니티
infinity	무한
cretaceous	백악기
bite	깨물어
marilyn	마릴린
rumors	소문
neighbor	이웃
neighbor	이웃집
fare	운임
ordering	순서
capitalism	자본주의
pigs	돼지
bolt	볼트
listeners	청취
listeners	청취자
dried	건조
assignments	할당
porch	현관
porch	베란다
indirect	간접
convenience	편의
practicing	연습
kite	연이
sylvia	실비아
shade	그늘
marian	마리안
lamp	램프
lamp	전등
camping	캠핑
chips	칩스
earthquakes	지진
indicator	지표
bloom	블룸
prayers	기도
napoleonic	나폴레옹
mortality	사망률
bruins	브루인스
malik	말리크
cliffs	절벽
bordeaux	보르도
lowell	로웰
heavier	무겁게
heavier	무거운
kidney	콩팥
kidney	신장
uncertainty	불확실
uncertainty	불확정성
documentaries	다큐멘터리
teddy	테디
omega	오메가
denial	거부
denial	부정
brush	브러시
turbo	터보
apologies	사과
addiction	중독증
addiction	중독
maid	하녀
maid	가정부
maid	메이드
physiology	생리학
brake	브레이크
jacket	자켓
jacket	재킷
spinning	빙글빙글
explorers	탐험
explorers	탐험가
impacts	영향
dante	단테
granada	그라나다
cemeteries	묘지
cemeteries	공동묘지
spears	스피어스
mariners	매리너스
mutant	돌연변이
oracle	오라클
slim	슬림
transformers	트랜스포머
beethoven	베토벤
notification	알림
vein	정맥
economists	경제학자
terra	테라
potato	감자
unconscious	무의식
endless	끝없는
mortgage	모기지
considerations	고려
suits	양복
suits	정장
realizing	실현
quotation	따옴표
quotation	인용
pilgrimage	순례
pilgrimage	순례지
truman	트루먼
taliban	탈레반
concise	간결
prostitution	성매매
flyers	플라이어스
bubble	거품
bubble	버블
incoming	수신
antiquity	고대
convenient	편리하다
convenient	편리
wines	와인
approve	승인
wilmington	윌밍턴
tempo	템포
hatch	해치
unfortunate	불행한
immunity	면책
immunity	면역
snakes	뱀과
duel	결투
authentic	정통
attachment	첨부
rupert	루퍼트
exclude	제외
shipyard	조선소
emotion	정서
emotion	감정
cobra	코브라
sensitivity	감도
plots	플롯
investor	투자가
investor	투자자
huntington	헌팅턴
neighbours	이웃
roth	로스
psychologist	심리학자
judiciary	사법
judiciary	사법제도
streaming	스트리밍
replies	답장
replies	응답
replies	답글
replies	답변
oxide	산화물
oxide	산화
zombie	좀비
canadians	캐나다인
dwelling	거주
liberia	라이베리아
blackpool	블랙풀
norris	노리스
harp	하프
rental	렌트
rental	임대
guilt	죄책감
fried	튀김
fried	볶음
concentrations	농도
verdict	판결
discovering	발견
aces	에이스
spiders	거미
everett	에버렛
quincy	퀸시
volcanoes	화산
threads	스레드
threads	대화
triggered	트리거
deliveries	배달
unfinished	미완성
teenagers	십대
sauce	소스
exports	내보내기
exports	수출
cartridge	카트리지
clifton	클리프턴
deluxe	디럭스
commando	특공대
feeds	피드
optimal	최적
kernel	커널
tragic	비극적
tragic	비극
credibility	신뢰성
resurrection	부활
conditional	조건부
belize	벨리즈
prosperity	번영
standardized	표준화
comet	혜성
pools	수영장
promo	프로모션
creativity	창의력
creativity	창의
creativity	창의성
esther	에스더
esther	에스텔
peel	껍질
lantern	랜턴
facial	안면
ladder	사다리
bohemia	보헤미아
thief	도둑놈
thief	도둑
levi	레비
levi	리바이
rodgers	로저스
announcing	발표
laugh	웃어라
laugh	웃음
laugh	웃어
sandwich	샌드위치
pornography	포르노그래피
tap	누르세요
tap	누르기
tap	누르면
granddaughter	손녀
exams	시험
acceleration	가속도
acceleration	가속
shelley	셸리
trombone	트롬본
captive	포로
codex	코덱스
wool	양모
wool	양털
majors	전공
vowels	모음
seller	판매자
triangular	삼각형
triangular	삼각
yuri	유리
wash	씻기
wash	씻어
signatures	서명
treason	반역죄
treason	반역
babies	영아
babies	아기
wilkinson	윌킨슨
sustainability	지속가능성
ballads	발라드
pillars	기둥
residency	레지던트
doubts	의심
lately	최근
lately	최근에
hector	헥토르
hector	헥터
lounge	라운지
presenters	발표자
tara	타라
curry	커리
curry	카레
nightmare	악몽
behaviors	행동
secretariat	사무국
illusion	착각
illusion	환상
icons	아이콘
electro	일렉트로
teens	십대
teens	청소년
shake	흔들리기
shake	흔들흔들
shake	흔들어
elias	엘리아스
elias	엘리어스
resist	저항
bluff	허세
anxiety	불안
anxiety	염려
dolls	인형
pitching	투수
barney	바니
sikh	시크교
feathers	깃털
habits	습관
extraction	추출
turf	터프
desirable	바람직
desirable	바람직해
desirable	바람직한
expo	엑스포
expo	박람회
bhutan	부탄
guerrilla	게릴라
deadline	마감
whip	채찍
farewell	작별
cardiac	심장
smiles	스마일
smiles	미소
terrorists	테러리스트
lizard	도마뱀과
lizard	도마뱀
remixes	리믹스
exiled	추방
negotiate	협상
axe	도끼
pose	포즈
fry	프라이
regency	리젠시
mom	엄마
accompany	동행
ark	방주
comma	쉼표
alcoholic	알코올
superhero	슈퍼히어로
sid	시드
loads	부하
lime	라임
raleigh	롤리
crossover	크로스오버
dickinson	디킨슨
drought	가뭄
delays	지연
ajax	아이아스
chargers	충전기
rejection	거부
rejection	거절
thor	토르
failures	실패
failures	고장
barriers	장벽
lottery	복권
outskirts	교외
turtles	거북
turtles	거북이
meadow	초원
wiley	윌리
patriot	애국자
patriot	패트리어트
infrared	적외선
bourbon	부르봉
bourbon	버번
surgeons	외과의사
surgeons	외과의
thatcher	대처
weigh	무게
parma	파르마
stressed	스트레스
watches	시계
tablet	태블릿
copying	복사
flip	뒤집기
shelf	선반
packages	패키지
emission	방출
emission	배출
correlation	상관
correlation	상관관계
ideals	이념
disappearance	소실
disappearance	실종
derivatives	파생상품
adobe	어도비
identities	정체성
transparency	투명성
transparency	투명
transparency	투명도
ruin	파멸
devotion	헌신
punches	펀치
steadily	꾸준히
noon	정오
confession	고백
confession	신앙고백
surf	서프
surf	서핑
playboy	플레이보이
penguins	펭귄
transgender	트랜스젠더
jewelry	보석
jewelry	쥬얼리
probe	탐사
sharma	샤르마
malls	쇼핑몰
organist	오르가니스트
elevator	엘레베이터
elevator	엘리베이터
elevator	승강기
discs	디스크
patience	인내심
patience	인내
cares	아낀다
nickel	니켈
calculate	계산하기
calculate	계산
alexis	알렉시스
alexis	알렉세이
mentally	정신적
townsend	타운센드
townsend	타운젠드
tear	눈물
unpublished	비공개
heroic	영웅
shine	빛나
onset	발병
branding	브랜드
recreate	재작성
infections	염증
infections	감염
violinist	바이올리니스트
exclusion	제외
exclusion	배제
unstable	불안정
unstable	불안정한
murderer	살인범
murderer	살인자
gymnasts	체조
pascal	파스칼
venetian	베네치아
vocabulary	어휘
destructive	파괴
innocence	무죄
arrows	화살
arrows	화살표
calculation	계산법
calculation	계산
innovations	혁신
abundance	풍성한
cyber	사이버
litigation	소송
motives	동기
coats	코트
satirical	풍자
harriet	해리엇
audition	오디션
sampling	샘플링
brackets	괄호
newest	최신
backgrounds	배경
lethal	치명적
banana	바나나
friction	마찰
friction	마찰력
comparisons	비교
assassin	암살
assassin	암살자
harding	하딩
carpet	카펫
carpet	융단
felipe	펠리페
unhappy	불행
unhappy	불행한
byrd	버드
grandchildren	손자
suppression	억제
natal	나탈
unix	유닉스
chandra	찬드라
beard	수염
concord	콩코드
sorting	정렬
wetlands	습지
mapped	매핑
beacon	비콘
nobles	귀족
arches	아치
cables	케이블
forrest	포레스트
obligations	의무
recruitment	모집
obligation	의무
corrections	보정
wembley	웸블리
debts	채무
debts	부채
enlightenment	계몽주의
enlightenment	계몽
abolition	폐지
gravel	자갈
secretaries	비서
sticks	스틱스
sticks	스틱
turbines	터빈
textbooks	교과서
tractor	트랙터
typing	타이핑
